Name HW1 HW2 HW3 HW4 HW5 MID FINAL PAR
berny.715 100 100 100 100 100 95 90 100
aris.13 100 90 80 100 50 80 90 100
hirst.17 90 90 90 90 90 65 80 100
rocha.19 80 90 85 100 95 75 75 80
clark.99 100 80 80 95 100 85 95 100
wilkes.1092 95 95 90 95 95 95 95 95
george.118 0 100 95 80 85 85 100 85
kennedy.73 100 100 100 100 100 100 100 100 0
fletcher.90 95 90 95 90 95 85 95 100
head.1 100 85 90 85 90 95 95 100
devine.1 45 95 100 85 95 95 100 95
patrick.75 100 100 100 95 95 85 85 95
hubbard.263 95 95 100 100 90 75 100 100
stuart.19 65 80 90 95 100 75 95 100
yates.192 100 20 90 95 100 85 95 100
pearson.90 100 100 100 100 100 80 90 100
griffiths.912 85 85 95 95 100 100 100 100
iles.91 95 90 95 100 95 100 100 90
iles.11 85 85 90 95 85 95 95 100
patel.912 100 100 75 65 100 95 95 95
holder.5 100 75 100 100 75 85 85 100
sparrow.210 100 85 100 85 100 85 95 100
